Symbol,P/E,EV/Sales,ROE,EPS,Current Ratio,Debt/Equity,Beta,Dividend Yield,Revenue Growth,EV/EBITDA,Profit Margin,Gross Margin
NOC,22.884762,2.572,0.26167,29.07,1.101,107.257,0.046,1.39,0.096,15.82,0.09968001,0.19815001
COF,61.267063,3.919,0.02394,3.37,,,1.144,1.55,0.516,,0.074829996,0.0
ECL,37.74725,5.34,0.22516,7.28,1.076,91.769,1.024,1.0,0.048,21.861,0.12907,0.44512
EOG,14.082236,3.295,0.16829,9.12,1.632,30.62,0.333,3.18,0.0,6.366,0.21982999,0.6202
FDX,20.96047,1.386,0.15869,18.72,1.474,140.994,1.286,1.48,0.083,11.023,0.04877,0.27552
BDX,25.905228,2.916,0.0696,6.12,1.049,77.284,0.352,2.65,0.016,10.581,0.08014,0.46784002
APD,,6.926,-0.01667,-1.46,1.459,101.991,0.808,2.48,0.058,99.505,-0.02733,0.31628
WMB,33.24766,10.027,0.18555,2.14,0.531,197.026,0.653,2.95,0.087,17.503,0.22129999,0.62122
SPG,14.553987,15.23,1.04109,14.17,0.236,435.463,1.403,4.19,0.132,20.608,0.7271,0.81899
ADSK,46.275333,7.106,0.39675,5.23,0.851,89.787,1.433,,0.194,26.864,0.15597999,0.92326
RCL,18.27657,5.5,0.47731,15.62,0.183,215.09,1.941,1.49,0.133,14.863,0.23797001,0.50616
RSG,30.315329,4.693,0.18301001,6.85,0.642,115.348,0.535,1.2,0.022,15.144,0.12893,0.43005002
CARR,36.284023,2.87,0.10925,1.69,1.199,87.719,1.319,1.57,-0.06,18.477,0.06824,0.26054
CSX,28.129871,7.053,0.22511,1.54,0.814,148.222,1.246,1.29,-0.009,15.472,0.20501,0.45586
HLT,55.90656,18.275,,6.1,0.665,,1.11,0.18,0.07,31.744,0.29411,0.77917
DLR,56.877094,14.705,0.05469,3.58,1.3,81.655,1.091,2.4,0.171,32.17,0.2152,0.55158
TGT,15.724477,0.694,0.24034001,8.13,0.942,125.518,1.032,3.57,-0.015,9.006,0.03536,0.27934
KMI,23.372263,6.188,0.09826,1.37,0.637,99.71,0.63,3.65,0.131,14.731,0.18043,0.49306
OKE,15.407749,2.547,0.15489,5.42,0.705,146.453,0.809,5.13,0.295,11.676,0.1009,0.30497
TFC,13.23822,4.905,0.08579001,3.82,,,0.869,4.11,0.052,,0.29624,0.0
AFL,16.767202,3.734,0.13118,6.83,1.07,42.682,0.652,2.13,-0.099,13.383,0.21242,0.46644002
GM,24.868502,0.97,0.04318,3.27,1.165,208.299,1.345,0.89,-0.051,10.18,0.014579999,0.107209995
BK,16.741018,-3.568,0.13472,8.07,,,1.053,1.57,0.134,,0.28872,0.0
ROP,25.505981,5.89,0.07929,14.21,0.518,47.957,0.89,1.0,0.097,14.853,0.19441,0.69244003
MET,16.577496,1.183,0.12020001,4.71,1.895,225.974,0.733,2.91,0.276,15.29,0.04384,0.23363
CPRT,21.037735,5.903,0.17129,1.59,10.061,0.98,1.142,,-0.036,14.01,0.33758,0.47344002
FCX,46.19079,4.609,0.13946,1.52,2.291,34.103,1.473,0.85,-0.015,13.124,0.08505,0.37063
CVS,55.611515,0.42,0.022869999,1.39,0.842,106.06,0.505,3.44,0.084,11.478,0.00442,0.13288
PCAR,27.993347,2.564,0.12922,4.51,2.168,81.937,1.064,1.05,-0.137,21.304,0.08352,0.14005
SRE,34.18909,7.796,0.051909998,2.75,1.591,83.385,0.677,2.8,-0.002,19.418,0.134,0.41184
AZO,24.99916,3.641,,142.9,0.89,,0.406,,0.082,17.035,0.124689996,0.51875997
TRV,8.976724,1.35,0.25272,33.51,0.335,28.975,0.522,1.66,0.01,6.25,0.15537,0.32878
NXPI,27.173586,5.235,0.20698999,7.95,2.046,119.711,1.467,1.88,0.072,15.847,0.16472,0.55382997
JCI,47.113712,3.98,0.12640001,2.99,0.994,73.339,1.402,1.14,0.068,23.076,0.14169,0.36466998
GWW,32.897877,3.22,0.46098998,35.35,2.827,69.114,1.092,0.78,0.045,19.498,0.09508,0.39064997
NSC,23.697493,6.914,0.19248,12.76,0.847,114.742,1.31,1.79,-0.017,15.046,0.23587999,0.45951998
PSA,34.357777,14.202,0.18763,9.0,0.261,109.763,0.999,3.88,0.033,20.151,0.36915,0.74723
SLB,22.408512,2.469,0.13904001,2.35,1.326,45.975,0.695,2.24,0.05,11.402,0.09449001,0.18687999
AMP,12.5778885,1.865,0.60508,36.27,2.29,57.597,1.266,1.4,0.086,,0.18841,0.56184
ALL,5.677962,0.889,0.39518002,38.07,0.366,25.091,0.224,2.0,0.051,4.817,0.15191,0.31301
FICO,39.68651,13.825,,27.05,0.929,,1.376,,0.164,28.356,0.31886998,0.82857
MNST,39.54639,8.723,0.26815,1.94,3.703,0.8,0.509,,0.176,27.216,0.22973,0.55848
PAYX,20.30022,9.118,,4.53,1.152,124.91,,4.7,0.199,22.501,0.26633,0.67197996
CHTR,6.5364637,2.427,0.28667998,36.2,0.387,482.329,1.026,,-0.023,6.026,0.09105,0.55309
AEP,20.06907,5.606,0.12486,6.66,0.455,154.237,0.57,2.84,0.132,13.693,0.16364999,0.47522
ROST,34.46596,3.255,0.36678,6.61,1.583,84.241,0.927,0.78,0.122,23.022,0.094289996,0.32562
PWR,88.511765,3.375,0.12739,6.8,1.136,71.102,1.106,0.07,0.197,38.489,0.03611,0.15010999
CMI,30.57923,2.739,0.23928,20.51,1.761,60.516,1.14,1.25,0.011,17.769,0.08444,0.25759
AXON,270.36914,11.691,0.04476,1.49,2.526,59.107,1.605,,0.385,607.313,0.044850003,0.59823
VST,75.32719,4.352,0.17656,2.17,0.777,399.55,1.498,0.56,0.136,14.765,0.05322,0.33238998
URI,20.620306,4.06,0.28357,38.61,0.945,174.732,1.681,0.99,0.028,14.673,0.15492,0.38356
MSCI,36.236458,15.186,,15.69,0.899,,1.294,1.44,0.106,26.095,0.38358003,0.82441
LULU,12.605877,1.741,0.34013,13.27,2.258,36.245,1.07,,0.008,7.141,0.14224,0.56601
O,55.632477,15.692,0.02702,1.17,1.245,73.505,0.796,4.97,0.11,17.685,0.18370001,0.92559
PSX,14.492122,0.637,0.15427,10.79,1.296,71.38,0.755,3.25,0.013,12.632,0.03326,0.123009995
AIG,14.489872,1.5,0.07399,5.43,0.622,24.408,0.601,2.29,-0.072,5.041,0.11634,0.34113997
FANG,31.460733,4.985,0.03735,5.73,0.416,33.784,0.488,2.33,-0.094,6.982,0.1164,0.7304
D,17.988472,6.669,0.09741,3.47,0.773,150.094,0.658,4.28,0.204,13.571,0.18163,0.49019
HWM,68.919136,12.723,0.30443,3.71,2.134,60.022,1.235,0.18,0.146,43.965,0.18274,0.34174
DHI,13.619091,1.404,0.13477,11.0,6.332,22.872,1.445,1.2,-0.095,10.539,0.09948,0.22068001
KR,44.279224,0.513,0.14405,1.54,0.801,415.97,0.546,2.05,0.012,9.361,0.0068800002,0.241
NDAQ,28.676376,11.295,0.15253,3.09,1.005,77.878,1.024,1.22,0.134,19.02,0.34063998,1.0
OXY,39.844444,3.857,0.05929,1.35,0.936,63.804,0.23,1.93,1.489,7.4,0.10772,0.69819
